Company Name ,Stock Price End of July,Market Capitalization,Volume ,Industry Name 
Cera Sanitaryware Ltd.,8938.9,11626,5598,
Lemon Tree Hotels Ltd.,146.74,11625,2379079,
Birla Corporation Ltd.,1509.55,11624,127887,
HMT Ltd.,96.42,11610,162891,
Genus Power Infrastructures Ltd.,380.25,11550,4992735,
India Cements Ltd.,372.05,11530,5880176,
Valor Estate Ltd.,213.69,11506,6808804,
Puravankara Ltd.,484.75,11496,165201,
Gravita India Ltd.,1664.1,11489,203252,
Bajaj Electricals Ltd.,995.9,11476,26525,
PG Electroplast Ltd.,434.4,11337,696801,
Usha Martin Ltd.,369.95,11274,721449,
JK Tyre & Industries Ltd.,431.1,11240,636112,
Can Fin Homes Ltd.,836.6,11140,442892,
Gujarat Pipavav Port Ltd.,227.24,10986,2560198,
Alkyl Amines Chemicals Ltd.,2137.15,10927,86745,
KNR Constructions Ltd.,388.4,10923,1438239,
Transformers & Rectifiers (India) Ltd.,725.4,10887,73710,
Sheela Foam Ltd.,998.3,10851,73529,
Glenmark Life Sciences Ltd.,884,10831,199931,
Ceat Ltd.,2675.5,10822,116138,
ISGEC Heavy Engineering Ltd.,1460.2,10737,287345,
Sapphire Foods India Ltd.,1678.15,10701,92942,
LT Foods Ltd.,307.85,10690,1941722,
Metropolis Healthcare Ltd.,2083.85,10678,73745,
RattanIndia Enterprises Ltd.,76.92,10632,1908632,
Vesuvius India Ltd.,5195.4,10545,20766,
Latent View Analytics Ltd.,509.35,10492,344268,
Safari Industries (India) Ltd.,2147.45,10473,316677,
Galaxy Surfactants Ltd.,2942.9,10434,19366,
Texmaco Rail & Engineering Ltd.,261.05,10428,2799552,
Thomas Cook (India) Ltd.,221.55,10421,3377896,
HG Infra Engineering Ltd.,1594.6,10392,101942,
Ion Exchange (India) Ltd.,706.95,10369,392015,
Just Dial Ltd.,1218.25,10360,369379,
Shree Renuka Sugars Ltd.,48.64,10353,14981482,
Inox Wind Energy Ltd.,8564,10318,10840,
Quess Corp Ltd.,692,10285,221948,
Maharashtra Scooters Ltd.,8939.05,10216,6806,
Jubilant Ingrevia Ltd.,640.2,10197,2988641,
Route Mobile Ltd.,1605.7,10082,67853,
Saregama India Ltd.,520.45,10035,1071133,
Graphite India Ltd.,512.6,10015,1151980,
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,679.45,9984,1761783,
JK Lakshmi Cement Ltd.,848.25,9981,281117,
Strides Pharma Science Ltd.,1080.8,9939,348677,
JM Financial Ltd.,103.31,9874,2705045,
Lloyds Engineering Works Ltd.,85.63,9801,6657654,
Redtape Ltd.,708,9785,255087,
Network18 Media & Investments Ltd.,93.28,9766,3908017,
Balrampur Chini Mills Ltd.,481.7,9718,2985921,
Varroc Engineering Ltd.,634.8,9699,126057,
MOIL Ltd.,474.35,9652,1088488,
Esab India Ltd.,6253.6,9626,2839,
Sammaan Capital Ltd.,166.35,9624,4253405,
Power Mech Projects Ltd.,6051.15,9566,57150,
Avanti Feeds Ltd.,700.25,9541,909157,
Archean Chemical Industries Ltd.,771.45,9519,569218,
Azad Engineering Ltd.,1609.8,9516,82966,
Campus Activewear Ltd.,310.35,9475,724235,
RateGain Travel Technologies Ltd.,801.75,9453,145694,
Sandur Manganese & Iron Ores Ltd.,583.15,9449,202473,
Aurionpro Solutions Ltd.,1710.5,9444,192479,
Gujarat State Fertilizer & Chemicals Ltd.,236.9,9440,1321150,
Black Box Ltd.,558.9,9394,400811,
Shakti Pumps (India) Ltd.,4686.75,9390,177874,
Juniper Hotels Ltd.,420.4,9354,187807,
Marksans Pharma Ltd.,205.47,9311,2056993,
RattanIndia Power Ltd.,17.31,9296,33754972,
Mahindra Lifespace Developers Ltd.,599,9287,127185,
Equitas Small Finance Bank Ltd.,81.59,9274,9571250,
Prudent Corporate Advisory Services Ltd.,2222.2,9201,36902,
Sarda Energy & Minerals Ltd.,259.4,9141,497337,
Home First Finance Company India Ltd.,1026.1,9135,180512,
Ahluwalia Contracts (India) Ltd.,1357.05,9091,44053,
CMS Info Systems Ltd.,556.7,9061,875032,
Keystone Realtors Ltd.,718,9048,25881,
Mahindra Holidays & Resorts India Ltd.,446.95,9026,180111,
Rajesh Exports Ltd.,304.7,8997,331530,
Infibeam Avenues Ltd.,32.31,8989,71375357,
Kirloskar Pneumatic Company Ltd.,1382.7,8961,135114,
ITD Cementation India Ltd.,520.4,8940,736218,
Mishra Dhatu Nigam Ltd.,475.6,8910,512157,
SBFC Finance Ltd.,82.6,8872,1398736,
Mastek Ltd.,2874.3,8869,115423,
Jupiter Life Line Hospitals Ltd.,1347.55,8835,87675,
Blue Jet Healthcare Ltd,507.45,8803,681526,
Procter & Gamble Health Ltd.,5299.9,8798,4302,
Hindustan Construction Company Ltd.,52.33,8790,33169596,
Syrma SGS Technology Ltd.,491.5,8728,929863,
Karnataka Bank Ltd.,230.75,8711,1598833,
Triveni Engineering & Industries Ltd.,397.9,8710,1042158,
Chemplast Sanmar Ltd.,550.05,8697,112878,
CCL Products India Ltd.,649.7,8675,188391,
Anupam Rasayan India Ltd.,789.1,8667,212391,
Ujjivan Small Finance Bank Ltd.,44.78,8660,9600872,
Shriram Pistons & Rings Ltd.,1947.1,8577,188621,
Maharashtra Seamless Ltd.,639.2,8565,434166,
Symphony Ltd.,1241.5,8561,283503,
Reliance Infrastructure Ltd.,215.72,8545,8524605,
Sunteck Realty Ltd.,582.95,8539,221253,
Equinox India Developments Ltd.,132.54,8436,4626513,
JK Paper Ltd.,497.45,8427,622903,
Diamond Power Infrastructure Ltd.,1597.95,8421,35241,
Allied Blenders & Distillers Ltd.,301.05,8421,484277,
Star Cement Ltd.,206.87,8361,290727,
Astra Microwave Products Ltd.,879.05,8346,210384,
TVS Supply Chain Solutions Ltd.,188.71,8308,861471,
HEG Ltd.,2151.3,8303,121387,
Dhanuka Agritech Ltd.,1821.45,8302,436654,
FDC Ltd.,508.55,8280,138502,
Electronics Mart India Ltd.,215.18,8279,315844,
Prism Johnson Ltd.,163.97,8254,202516,
Va Tech Wabag Ltd.,1320.95,8215,260155,
Mrs. Bectors Food Specialities Ltd.,1394.9,8204,333785,
Shoppers Stop Ltd.,737.25,8108,132275,
Max Estates Ltd.,549.45,8099,92338,
Religare Enterprises Ltd.,244.35,8071,552626,
Vijaya Diagnostic Centre Ltd.,786.25,8069,57993,
Medplus Health Services Ltd.,673.4,8050,37055,
Technocraft Industries (India) Ltd.,3475.95,7981,18848,
Tips Industries Ltd.,618.7,7909,337395,
Balaji Amines Ltd.,2439.65,7905,66008,
IFB Industries Ltd.,1948.05,7893,227459,
Choice International Ltd.,395.3,7881,430803,
India Shelter Finance Corporation Ltd.,734.8,7878,52927,
Transport Corporation of India Ltd.,1005.3,7829,40063,
ASK Automotive Ltd.,396.75,7822,261521,
TV18 Broadcast Ltd.,45.58,7814,8977274,
Sansera Engineering Ltd.,1436.15,7755,254933,
PDS Ltd.,585.4,7751,252891,
Welspun Enterprises Ltd.,559.2,7738,365889,
Senco Gold Ltd.,987.3,7672,223863,
JSW Holdings Ltd.,6879.85,7636,1788,
Epigral Ltd.,1829.55,7602,279674,
Responsive Industries Ltd.,283.3,7553,246777,
Indo Count Industries Ltd.,381.05,7547,252801,
Dilip Buildcon Ltd.,514.9,7529,365431,
Time Technoplast Ltd.,331.6,7525,943081,
Gallantt Ispat Ltd.,311.7,7521,21107,
Nazara Technologies Ltd.,981.4,7512,4981923,
Ethos Ltd.,3046.6,7458,24075,
Greenlam Industries Ltd.,582.85,7436,27359,
Jindal Worldwide Ltd.,370.1,7421,97006,
Ganesh Housing Corporation Ltd.,888.7,7411,57079,
Garware Technical Fibres Ltd.,3728.25,7402,4720,
Sun Pharma Advanced Research Company Ltd.,226.24,7342,490633,
Dodla Dairy Ltd.,1215.65,7334,51093,
Orient Cement Ltd.,355.55,7284,6147437,
Man Infraconstruction Ltd.,195.72,7266,588497,
Easy Trip Planners Ltd.,40.89,7246,21626612,
Sharda Motor Industries Ltd.,2426.7,7215,31638,
Borosil Renewables Ltd.,551.5,7199,1051322,
Orchid Pharma Ltd.,1417.7,7190,97221,
Paradeep Phosphates Ltd.,88.08,7177,6981103,
Suprajit Engineering Ltd.,516.95,7158,125889,
eMudhra Ltd.,864.15,7156,236728,
Gabriel India Ltd.,497.2,7142,327630,
Tamilnad Mercantile Bank Ltd.,450.9,7140,158974,
Ashoka Buildcon Ltd.,252.6,7091,754977,
Indigo Paints Ltd.,1481,7053,63570,
EPL Ltd.,220.7,7027,621467,
Prince Pipes & Fittings Ltd.,634.6,7016,159698,
National Fertilizers Ltd.,142.23,6977,5172219,
Laxmi Organic Industries Ltd.,252.4,6946,471239,
South Indian Bank Ltd.,26.33,6888,17854887,
LE Travenues Technology Ltd.,176.66,6844,2725884,
Shilpa Medicare Ltd.,699.7,6842,301529,
Rolex Rings Ltd.,2495.6,6796,12391,
Gokaldas Exports Ltd.,951.75,6796,81163,
Sudarshan Chemical Industries Ltd.,976.3,6759,217031,
V-Mart Retail Ltd.,3412.4,6749,8198,
KRBL Ltd.,294.3,6736,1031307,
Sterlite Technologies Ltd.,137.94,6727,3699391,
Arvind Fashions Ltd.,503.9,6714,519602,
Jana Small Finance Bank Ltd.,640.95,6704,35236,
India Tourism Development Corporation Ltd.,781.1,6699,150237,
Hindustan Foods Ltd.,584.15,6693,40816,
Kesoram Industries Ltd.,213.91,6645,181262,
VST Industries Ltd.,4282.25,6613,40154,
Rallis India Ltd.,339.6,6604,547243,
Jai Corp Ltd.,369.65,6596,544004,
IIFL Securities Ltd.,212.28,6550,2078741,
GMM Pfaudler Ltd.,1451.1,6524,44702,
Surya Roshni Ltd.,598.85,6517,144805,
SIS Ltd.,450.95,6501,162382,
TD Power Systems Ltd.,415.35,6487,800316,
NIIT Learning Systems Ltd.,476.7,6469,121788,
VIP Industries Ltd.,454.85,6458,519498,
PTC India Ltd.,217.81,6447,1960235,
TARC Ltd.,218.05,6435,429694,
Sundaram Finance Holdings Ltd.,289.15,6422,319558,
J Kumar Infraprojects Ltd.,842.85,6377,147623,
MSTC Ltd.,905.75,6376,271829,
Gujarat Ambuja Exports Ltd.,137.6,6311,456793,
Pricol Ltd.,517.2,6304,508634,
Allcargo Logistics Ltd.,64.07,6297,1917934,
Lux Industries Ltd.,2079.2,6253,226286,
Edelweiss Financial Services Ltd.,65.98,6228,8284505,
Nesco Ltd.,883.7,6227,169573,
Cyient DLM Ltd.,784.6,6222,186225,
Share India Securities Ltd.,299.55,6164,619821,
Privi Speciality Chemicals Ltd.,1548.15,6158,14473,
Go Fashion (India) Ltd.,1127.35,6089,176490,
DB Corp Ltd.,338.8,6036,144875,
GHCL Ltd.,628.45,6018,8916525,
Hemisphere Properties India Ltd.,210.12,5988,896183,
Gulf Oil Lubricants India Ltd.,1209.95,5952,122859,
Paisalo Digital Ltd.,66.15,5941,1192010,
Bansal Wire Industries Ltd.,375.55,5879,676581,
Aarti Pharmalabs Ltd.,647.75,5870,586136,
CSB Bank Ltd.,338.3,5869,258175,
Orient Electric Ltd.,274.3,5853,559283,
Garware Hi-Tech Films Ltd.,2514.55,5842,88094,
Gujarat Alkalies & Chemicals Ltd.,786.15,5773,70691,
Kirloskar Industries Ltd.,5773.6,5748,2779,
MTAR Technologies Ltd.,1864.2,5734,100466,
Rain Industries Ltd.,170.3,5728,2196744,
Kaveri Seed Company Ltd.,1109,5705,185384,
GMR Power and Urban Infra Ltd.,93.99,5673,2244408,
R Systems International Ltd.,475.25,5622,32448,
Pilani Investment and Industries Corporation Ltd.,5054,5596,4649,
Jamna Auto Industries Ltd.,139.72,5574,2746189,
Restaurant Brands Asia Ltd.,111.6,5558,5497018,
Bharat Bijlee Ltd.,4870.75,5505,38980,
Utkarsh Small Finance Bank Ltd.,50.02,5505,1504200,
ICRA Ltd.,5655.45,5458,17655,
Ami Organics Ltd.,1333.15,5453,174984,
Bajaj Hindusthan Sugar Ltd.,42.63,5445,18210491,
Vaibhav Global Ltd.,326.2,5416,1043871,
Entero Healthcare Solutions Ltd.,1245,5415,67926,
Exicom Tele-Systems Ltd.,443.95,5364,153183,
NOCIL Ltd.,318.2,5304,2270484,
Inox Green Energy Services Ltd.,179.92,5283,4498912,
TeamLease Services Ltd.,3149.25,5281,87107,
Heritage Foods Ltd.,568.95,5280,477532,
Mas Financial Services Ltd.,289.3,5249,142119,
Johnson Controls-Hitachi Air Conditioning India Ltd.,1925.9,5237,62701,
Banco Products (India) Ltd.,728,5207,204595,
Ramky Infrastructure Ltd.,751.65,5201,193124,
Harsha Engineers International Ltd.,570.2,5191,481871,
Balu Forge Industries Ltd.,491.55,5158,651675,
Heidelberg Cement India Ltd.,227.41,5153,228588,
Healthcare Global Enterprises Ltd.,362.75,5055,145278,
JTEKT India Ltd.,197.71,5027,427033,
Rossari Biotech Ltd.,908.55,5023,1801719,
Sharda Cropchem Ltd.,556,5016,168177,
VRL Logistics Ltd.,570.15,4987,39762,
AGI Greenpac Ltd.,767.6,4966,183223,
Sanghvi Movers Ltd.,1137.2,4923,225535,
Jayaswal Neco Industries Ltd.,50.31,4885,950950,
Paras Defence and Space Technologies Ltd.,1250.2,4876,96977,
Balmer Lawrie & Company Ltd.,283.65,4851,492991,
Advanced Enzyme Technologies Ltd.,433.15,4844,1013954,
Tilaknagar Industries Ltd.,250.4,4828,346907,
Avantel Ltd.,198,4817,416358,
Jain Irrigation Systems Ltd.,70.02,4809,4257609,
Patel Engineering Ltd.,56.93,4807,7254876,
Thangamayil Jewellery Ltd.,1736.4,4765,26049,
Shanthi Gears Ltd.,620.95,4764,39363,
Dynamatic Technologies Ltd.,7005.55,4758,14518,
Wonderla Holidays Ltd.,838.2,4742,131245,
Mahanagar Telephone Nigam Ltd.,75.09,4731,920630,
Aarti Drugs Ltd.,511.4,4702,116907,
Sunflag Iron & Steel Company Ltd.,258.55,4660,578511,
Greenply Industries Ltd.,375.9,4652,678785,
Awfis Space Solutions Ltd,670,4651,119527,
Spandana Sphoorty Financial Ltd.,651.35,4644,232175,
Fedbank Financial Services Ltd.,125.12,4640,336679,
Styrenix Performance Materials Ltd.,2633.8,4632,43634,
Bombay Dyeing & Manufacturing Company Ltd.,223.73,4621,2166257,
Shipping Corporation of India Land And Assets Ltd.,98.93,4608,3465253,
TCI Express Ltd.,1184.65,4545,28678,
Borosil Ltd.,379.65,4532,189460,
Tide Water Oil Company India Ltd.,2595.4,4522,54725,
EMS Ltd.,814.25,4522,744933,
Pearl Global Industries Ltd.,986.45,4502,100109,
Bharat Rasayan Ltd.,10789.4,4483,7111,
Subros Ltd.,686.2,4476,54674,
Imagicaaworld Entertainment Ltd.,82.45,4471,1785596,
Bhagiradha Chemicals & Industries Ltd.,356.7,4439,144349,
PC Jeweller Ltd.,95.03,4423,7183860,
Gopal Snacks Ltd.,354.8,4421,418077,
Venus Pipes & Tubes Ltd.,2177.2,4419,41702,
Fusion Micro Finance Ltd.,435.85,4403,223120,
Greenpanel Industries Ltd.,355.2,4356,373081,
Savita Oil Technologies Ltd.,628.75,4345,84935,
The Orissa Minerals Development Company Ltd.,7206.35,4324,15092,
Neogen Chemicals Ltd.,1631.3,4304,19203,
Thyrocare Technologies Ltd.,810.8,4293,166794,
Zaggle Prepaid Ocean Services Ltd.,349.4,4284,3190429,
Fineotex Chemical Ltd.,373.65,4280,217509,
Prime Focus Ltd.,142.72,4280,52903,
LG Balakrishnan & Bros Ltd.,1361.45,4274,47201,
KDDL Ltd.,3408.9,4274,7549,
Skipper Ltd.,401.5,4225,965840,
CarTrade Tech Ltd.,892.85,4219,449727,
Uflex Ltd.,584.15,4218,98499,
DCX Systems Ltd.,376.05,4189,308750,
JNK India Ltd.,751.65,4181,20231,
Manorama Industries Ltd.,701.25,4179,41274,
West Coast Paper Mills Ltd.,630.75,4166,179049,
Sula Vineyards Ltd.,491.8,4151,151665,
Hikal Ltd.,335.7,4139,377482,
Honda India Power Products Ltd.,4041.35,4099,8172,
Medi Assist Healthcare Services Ltd.,582.65,4097,127741,
Kewal Kiran Clothing Ltd.,664.2,4093,32561,
Unichem Laboratories Ltd.,580.5,4087,38298,
Hathway Cable & Datacom Ltd.,23.07,4084,6545602,
Muthoot Microfin Ltd.,239.17,4078,150291,
Optiemus Infracom Ltd.,473.4,4064,937445,
Nucleus Software Exports Ltd.,1503.15,4024,51077,
JTL Industries Ltd.,208.77,4001,1026210,
Apeejay Surrendra Park Hotels Ltd.,187.19,3994,160105,
Sandhar Technologies Ltd.,661.15,3980,213196,
Ganesha Ecosphere Ltd.,1568,3974,38238,
Bannari Amman Sugars Ltd.,3159.95,3962,2313,
Samhi Hotels Ltd.,179.36,3947,914501,
HPL Electric & Power Ltd.,607.3,3905,873116,
DCB Bank Ltd.,124.53,3901,1166925,
Shaily Engineering Plastics Ltd.,846.3,3882,100819,
India Glycols Ltd.,1251.5,3875,707247,
Ashiana Housing Ltd.,384.5,3865,100493,
Yatharth Hospital & Trauma Care Services Ltd.,448.55,3851,76871,
Greaves Cotton Ltd.,165.3,3843,2805782,
Sundaram-Clayton Ltd.,1899.4,3843,9487,
Kalyani Steels Ltd.,880.1,3842,62524,
ISMT Ltd.,127.3,3825,1097834,
Pitti Engineering Ltd.,1187.05,3805,157022,
Seamec Ltd.,1492.25,3794,101415,
Indian Metals & Ferro Alloys Ltd.,703.15,3794,63937,
TCNS Clothing Co. Ltd.,598,3786,94960,
Lumax Auto Technologies Ltd.,554.9,3782,77161,
Hindustan Oil Exploration Company Ltd.,285.8,3780,5190490,
Alembic Ltd.,146.8,3770,3411332,
Navneet Education Ltd.,166.62,3769,1427370,
Bajaj Consumer Care Ltd.,263.4,3761,298875,
Gensol Engineering Ltd.,1002.9,3758,296768,
Marine Electricals (India) Ltd.,282.85,3752,741553,
Cigniti Technologies Ltd.,1367.1,3732,69952,
Hinduja Global Solutions Ltd.,799.9,3721,346259,
Mahindra Logistics Ltd.,514.55,3707,108688,
Ujaas Energy Ltd.,351,3696,454,
GTL Infrastructure Ltd.,2.88,3688,518847503,
Shivalik Bimetal Controls Ltd.,638.3,3677,156428,
Bhansali Engineering Polymers Ltd.,146.76,3652,1637525,
Artemis Medicare Services Ltd.,265.4,3652,185641,
Swaraj Engines Ltd.,3004.4,3650,13757,
Steel Strips Wheels Ltd.,231.75,3637,300931,
Premier Explosives Ltd.,675.9,3634,113878,
VST Tillers Tractors Ltd.,4192.9,3622,2565,
Polyplex Corporation Ltd.,1148.9,3607,177588,
Jindal Poly Films Ltd.,820.7,3594,56855,
Apollo Micro Systems Ltd.,117.1,3589,2658577,
Delta Corp Ltd.,133.87,3585,1235698,
The Anup Engineering Ltd.,1792.85,3570,30409,
PTC India Financial Services Ltd.,55.47,3563,2836426,
Gujarat Industries Power Company Ltd.,235.41,3561,338699,
Innova Captab Ltd.,620.8,3553,122785,
FIEM Industries Ltd.,1349.1,3551,100156,
La Opala RG Ltd.,317.6,3525,287861,
Kingfa Science & Technology (India) Ltd.,2908.45,3522,52545,
Gufic BioSciences Ltd.,348.2,3492,38239,
MPS Ltd.,2040.55,3491,15632,
V2 Retail Ltd.,1008.95,3490,150454,
Sequent Scientific Ltd.,139.32,3477,860242,
Arvind SmartSpaces Ltd.,764.85,3477,74907,
Vindhya Telelinks Ltd.,2918.9,3459,52997,
Vishnu Prakash R Punglia Ltd.,277,3453,2783321,
Datamatics Global Services Ltd.,583.3,3443,258365,
Thirumalai Chemicals Ltd.,335.5,3435,527033,
Prakash Industries Ltd.,190.43,3410,878260,
Supriya Lifescience Ltd.,422.3,3399,1306675,
Flair Writing Industries Ltd,322.15,3395,99460,
Avalon Technologies Ltd.,514.55,3388,46310,
TVS Srichakra Ltd.,4412.9,3379,35725,
Stanley Lifestyles Ltd.,587.95,3352,210271,
Ashapura Minechem Ltd.,361.55,3308,162425,
Indostar Capital Finance Ltd.,242.85,3305,119801,
GE Power India Ltd.,491.35,3303,64227,
Bajel Projects Ltd.,284.55,3282,327049,
Thejo Engineering Ltd.,3015.9,3270,22837,
Dhani Services Ltd.,53.18,3255,4006218,
RPG Life Sciences Ltd.,1961.05,3243,31187,
Stylam Industries Ltd.,1908.1,3234,19366,
Dalmia Bharat Sugar and Industries Ltd.,396.35,3208,93745,
Morepen Laboratories Ltd.,62.69,3205,22845353,
Foseco India Ltd.,5003.15,3195,52918,
Refex Industries Ltd.,264.1,3188,715911,
SEPC Ltd.,20.36,3184,14890532,
Sagar Cements Ltd.,243.5,3183,77406,
Suraj Estate Developers Ltd.,715.95,3176,108592,
Quick Heal Technologies Ltd.,591.7,3170,143038,
Hindware Home Innovation Ltd.,437.3,3162,85615,
ideaForge Technology Ltd.,735.25,3161,519009,
NRB Bearings Ltd.,325.95,3159,99396,
Jash Engineering Ltd.,2524.45,3159,16962,
Repco Home Finance Ltd.,504.65,3157,795893,
Dredging Corporation Of India Ltd.,1127.1,3156,22100,
Vadilal Industries Ltd.,4382.2,3150,7832,
SML Isuzu Ltd.,2157.25,3122,255965,
Automotive Axles Ltd.,2065.1,3121,20663,
Salasar Techno Engineering Ltd.,17.99,3106,2266062,
Maithan Alloys Ltd.,1066.5,3105,37769,
Suven Life Sciences Ltd.,142.35,3104,326718,
Saksoft Ltd.,291.45,3091,126919,
KCP Ltd.,238.61,3076,706694,
SJS Enterprises Ltd.,991.05,3076,3131764,
Somany Ceramics Ltd.,748.2,3068,109622,
Wendt (India) Ltd.,15324.3,3065,211,
Dishman Carbogen Amcis Ltd.,195.29,3062,3362691,
Shalby Ltd.,283,3057,130495,
Marathon Nextgen Realty Ltd.,596.45,3054,55478,
Rajratan Global Wire Ltd.,600.65,3050,53349,
Huhtamaki India Ltd.,400.85,3027,573876,
Eveready Industries India Ltd.,415,3017,476118,
Indoco Remedies Ltd.,325.75,3003,84644,
BF Utilities Ltd.,793.25,2988,101856,
HLE Glascoat Ltd.,436.55,2980,44392,
Goodluck India Ltd.,902.6,2955,61623,
Confidence Petroleum India Ltd.,88.58,2943,1560585,
Dish TV India Ltd.,15.98,2942,14087038,
CARE Ratings Ltd.,979.55,2928,72552,
Vishnu Chemicals Ltd.,444.95,2916,105445,
TCPL Packaging Ltd.,3199.05,2911,36762,
Gokul Agro Resources Ltd.,196.01,2892,781183,
PSP Projects Ltd.,726.75,2881,661939,
Kolte-Patil Developers Ltd.,379,2881,174428,
Abans Holdings Ltd.,571.75,2867,622574,
Man Industries (India) Ltd.,442.25,2863,155359,
Genesys International Corporation Ltd.,721.2,2856,199380,
Sindhu Trade Links Ltd.,18.49,2851,611447,
D P Abhushan Ltd.,1260.4,2850,14066,
Vertoz Advertising Ltd.,33.43,2849,2517296,
Unitech Ltd.,10.88,2847,2919837,
Dollar Industries Ltd.,501.65,2845,81345,
Universal Cables Ltd.,819.2,2842,94376,
M M Forgings Ltd.,588.35,2841,86104,
EIH Associated Hotels Ltd.,930.6,2835,26508,
Globus Spirits Ltd.,980.1,2825,255450,
RPSG Ventures Ltd.,846.95,2802,343822,
Fino Payments Bank Ltd.,335.85,2795,1013535,
Nilkamal Ltd.,1870.7,2792,21346,
Servotech Power Systems Ltd.,125.98,2789,2719042,
Dolphin Offshore Enterprises (India) Ltd.,696.3,2786,5297,
Capacit'e Infraprojects Ltd.,328.45,2779,1631232,
Indian Hume Pipe Company Ltd.,526.7,2775,800254,
Solara Active Pharma Sciences Ltd.,689.85,2774,206646,
Mayur Uniquoters Ltd.,622.75,2737,610704,
Precision Wires India Ltd.,152.3,2721,294872,
Lumax Industries Ltd.,2904.85,2715,3793,
Sky Gold Ltd.,2043.35,2705,83430,
Venky's (India) Ltd.,1920,2705,109335,
Accelya Solutions India Ltd.,1807.3,2698,22674,
Tarsons Products Ltd.,504.7,2685,41838,
Hi-Tech Pipes Ltd.,152,2677,954356,
Geojit Financial Services Ltd.,110.8,2649,828301,
HMA Agro Industries Ltd.,52.89,2649,189098,
Kalyani Investment Company Ltd.,6066.7,2648,697,
Mold-Tek Packaging Ltd.,796.9,2648,174120,
SMS Pharmaceuticals Ltd.,312.75,2647,463551,
Filatex India Ltd.,59.35,2634,2115815,
Den Networks Ltd.,55.12,2630,2185713,
Mangalam Cement Ltd.,955.3,2627,161133,
Dolat Algotech Ltd.,148.47,2613,1736450,
Apollo Pipes Ltd.,631.5,2611,62641,
S H Kelkar & Company Ltd.,188.48,2609,217483,
ESAF Small Finance Bank Ltd.,50.66,2608,974577,
TIL Ltd.,390.6,2601,77122,
Rashi Peripherals Ltd.,394.1,2597,202298,
Hester Biosciences Ltd.,3052.85,2597,47623,
Landmark Cars Ltd.,625.05,2583,132640,
Mukand Ltd.,178.49,2579,221157,
Panama Petrochem Ltd.,425.25,2572,175530,
Sai Silks (Kalamandir) Ltd.,166.92,2560,187301,
Websol Energy Systems Ltd.,606,2558,100735,
India Pesticides Ltd.,221.38,2549,351472,
Ajmera Realty & Infra India Ltd.,718.2,2549,24592,
Omaxe Ltd.,139.15,2545,18045,
Tasty Bite Eatables Ltd.,9909.4,2543,3006,
E2E Networks Ltd.,1739,2520,22659,
Jyoti Structures Ltd.,29.72,2518,11266169,
Sasken Technologies Ltd.,1668.3,2515,11035,
ADF Foods Ltd.,228.67,2512,138280,
Pennar Industries Ltd.,186.06,2511,938642,
IOL Chemicals and Pharmaceuticals Ltd.,427.25,2508,289420,
Indo Tech Transformers Ltd.,2345.7,2491,29713,
Rupa & Company Ltd.,312.9,2488,435081,
IKIO Lighting Ltd.,321.9,2488,481090,
DEE Development Engineers Ltd.,358.15,2473,212014,
