Company Name ,Stock Price End of July,Market Capitalization,Volume ,Industry Name 
International Conveyors Ltd.,82.68,524,175084,
Megasoft Ltd.,71.03,524,163597,
Manomay Tex India Ltd.,290.05,524,293952,
Kritika Wires Ltd.,19.57,521,277706,
Geekay Wires Ltd.,99.2,518,524142,
IFB Agro Industries Ltd.,553.15,518,1269,
Orbit Exports Ltd.,195.47,517,81207,
UFO Moviez India Ltd.,133.9,517,805467,
Modison Ltd.,159.1,516,82982,
Reliance Communications Ltd.,1.85,512,9318813,
Vibhor Steel Tubes Ltd.,268.3,509,4806,
Vardhman Acrylics Ltd.,63.05,507,85921,
B&B Triplewall Containers Ltd.,244.77,502,1738,
Sadbhav Engineering Ltd.,29.08,499,1956305,
United Drilling Tools Ltd.,245.66,499,26456,
MIRC Electronics Ltd.,21.56,498,586894,
Prozone Realty Ltd.,31.93,487,610508,
Synergy Green Industries Ltd.,344.25,486,11442,
Kothari Sugars & Chemicals Ltd.,58.67,486,296237,
Manaksia Coated Metals & Industries Ltd.,65.13,484,10459,
Akme Fintrade (India) Ltd.,113.26,483,313248,
Pritika Auto Industries Ltd.,29.79,482,1475336,
CL Educate Ltd.,88.7,480,97059,
Industrial Investment Trust Ltd.,209.77,473,1288428,
Premier Polyfilm Ltd.,223.5,468,60941,
Kapston Services Ltd.,460.7,467,23435,
Sakthi Sugars Ltd.,38.97,463,538377,
Dynemic Products Ltd.,372.35,463,5572,
SoftTech Engineers Ltd.,361,463,2410,
AION-TECH Solutions Ltd.,133.73,462,66467,
IL&FS Investment Managers Ltd.,14.63,459,680276,
Ponni Sugars (Erode) Ltd.,533.55,459,26074,
Jet Airways (India) Ltd.,40.08,455,41337,
Harrisons Malayalam Ltd.,246.5,455,61782,
Elgi Rubber Company Ltd.,90,450,11221,
M K Proteins Ltd.,11.98,450,28996,
Poddar Pigments Ltd.,423.3,449,9421,
S & S Power Switchgear Ltd.,362.9,448,3032,
Nath Bio-Genes (India) Ltd.,235.09,447,22133,
Mawana Sugars Ltd.,114.05,446,156580,
Emkay Global Financial Services Ltd.,179.88,446,29802,
DCM Nouvelle Ltd.,236.94,443,13493,
Sheetal Cool Products Ltd.,419.35,440,17339,
Shemaroo Entertainment Ltd.,160.8,438,276712,
The Byke Hospitality Ltd.,83.79,438,10331,
Sahyadri Industries Ltd.,399.9,438,12323,
Hitech Corporation Ltd.,253.91,436,83510,
Indo National Ltd.,577.05,433,5636,
Mangalam Global Enterprise Ltd.,26.2,432,140972,
Integra Essentia Ltd.,3.98,425,5328385,
Bharat Road Network Ltd.,50.27,422,14981,
Country Club Hospitality & Holidays Ltd.,25.67,420,14228,
Gokul Refoils & Solvent Ltd.,42.17,417,133293,
Cineline India Ltd.,127.79,415,38432,
Sigma Solve Ltd.,402.55,414,3226,
Udayshivakumar Infra Ltd.,74.57,413,114858,
Plaza Wires Ltd.,94.02,411,657362,
Coastal Corporation Ltd.,304.6,410,56336,
Global Vectra Helicorp Ltd.,292.1,409,3434,
Universus Photo Imagings Ltd.,372.45,408,348,
Apollo Sindoori Hotels Ltd.,1555.95,405,2325,
Atlantaa Ltd,49.6,404,12129,
Ruchira Papers Ltd.,134.84,402,70961,
Trigyn Technologies Ltd.,130.1,401,43569,
Lyka Labs Ltd.,120.68,399,132174,
Exxaro Tiles Ltd.,88.81,397,119805,
Shreyans Industries Ltd.,287.1,397,22104,
Mangalam Organics Ltd.,462.15,396,43515,
Asian Hotels (North) Ltd.,199.86,389,8133,
Robust Hotels Ltd.,223.89,387,37154,
Aries Agro Ltd.,297.5,387,199591,
Aban Offshore Ltd.,66.08,386,47800,
GP Petroleums Ltd.,75.23,384,296665,
Indowind Energy Ltd.,29.69,382,774540,
Rana Sugars Ltd.,24.9,382,678486,
Global Education Ltd.,187.54,382,37606,
Mahindra EPC Irrigation Ltd.,136.62,382,25579,
Lorenzini Apparels Ltd.,22.89,381,59185,
Star Paper Mills Ltd.,242.16,378,10835,
Shyam Century Ferrous Ltd.,17.71,376,167664,
IL&FS Engineering & Construction Company Ltd.,28.63,375,16764,
Bannari Amman Spinning Mills Ltd.,57.88,375,633879,
KM Sugar Mills Ltd.,40.68,374,113399,
Rajnandini Metal Ltd.,13.41,371,1525134,
Euro India Fresh Foods Ltd.,149.22,370,31627,
VIP Clothing Ltd.,44.6,368,106719,
Airan Ltd.,29.38,367,264799,
Manaksia Steels Ltd.,55.85,366,56872,
NDL Ventures Ltd.,107.38,362,31540,
Shree Rama Multi-Tech Ltd.,27,361,33919,
A2Z Infra Engineering Ltd.,20.44,360,174238,
Emami Realty Ltd.,95.11,360,31223,
UCAL Ltd.,162.54,359,22384,
Intense Technologies Ltd.,152.43,358,24730,
Sejal Glass Ltd.,353.35,357,4588,
Jay Shree Tea & Industries Ltd.,123.33,356,248035,
Pasupati Acrylon Ltd.,39.95,356,179008,
Sintercom India Ltd.,129.32,356,29781,
DRC Systems India Ltd.,26.78,355,90488,
Magnum Ventures Ltd.,52.98,352,133433,
Ruchi Infrastructure Ltd.,15.94,351,554587,
Bhagyanagar India Ltd.,109.64,351,70805,
Sumit Woods Ltd.,86.1,349,10458,
Murudeshwar Ceramics Ltd.,57.46,348,176779,
Virinchi Ltd.,34.14,348,741786,
Nila Spaces Ltd.,8.77,345,58006,
DJ Mediaprint & Logistics Ltd.,315.35,341,5398,
Megastar Foods Ltd.,300.6,339,6549,
Surana Telecom and Power Ltd.,24.97,339,198627,
Zodiac Clothing Company Ltd.,130.35,339,35433,
Zee Learn Ltd.,10.39,339,2636345,
Rama Phosphates Ltd.,191.34,339,16533,
Osia Hyper Retail Ltd.,25.29,337,290657,
Veto Switchgears & Cables Ltd.,175.72,336,1004463,
Lords Chloro Alkali Ltd.,132.99,335,10711,
Raj Television Network Ltd.,64.26,334,18541,
BGR Energy Systems Ltd.,44.61,322,125066,
Maral Overseas Ltd.,77.49,322,190302,
Vishwaraj Sugar Industries Ltd.,17.07,321,1281272,
Lancor Holdings Ltd.,43.67,319,39025,
Crown Lifters Ltd.,282.45,317,2289,
Sundaram Brake Lining Ltd.,800.55,315,2859,
Medico Remedies Ltd.,37.81,314,132879,
Naga Dhunseri Group Ltd.,3122,312,177,
Gujarat Apollo Industries Ltd.,263.25,311,7967,
Welspun Investments & Commercials Ltd.,845.4,309,868,
Rudrabhishek Enterprises Ltd.,177.66,308,18551,
Pil Italica Lifestyle Ltd.,13.04,306,393047,
Shree Rama Newsprint Ltd.,20.77,306,100794,
Oriental Carbon & Chemicals Ltd.,306.65,306,53000,
Uma Exports Ltd.,90.33,305,61935,
Indian Terrain Fashions Ltd.,68.93,305,355233,
Dev Information Technology Ltd.,134.42,302,47283,
Loyal Textiles Mills Ltd.,627.4,302,9574,
PPAP Automotive Ltd.,214.48,300,30903,
Smartlink Holdings Ltd.,300,299,501,
Alphageo (India) Ltd.,467.45,298,12691,
Inventure Growth & Securities Ltd.,2.83,297,5362971,
Lagnam Spintex Ltd.,167.51,296,69443,
Nitiraj Engineers Ltd.,288.15,295,1082,
AksharChem (India) Ltd.,366.05,294,59126,
South West Pinnacle Exploration Ltd.,104.95,293,30718,
Par Drugs & Chemicals Ltd.,236.73,291,9625,
Commercial Syn Bags Ltd.,72.87,291,47681,
Take Solutions Ltd.,19.66,291,156118,
SMS Lifesciences India Ltd.,961.4,291,2345,
Aaron Industries Ltd.,277.15,290,13804,
Cords Cable Industries Ltd.,224.47,290,27292,
McLeod Russel (India) Ltd.,27.58,288,837086,
Rane Engine Valve Ltd.,397.9,288,11639,
Omax Autos Ltd.,134.08,287,81501,
Rajshree Polypack Ltd.,78.06,286,347791,
Shradha Infraprojects Ltd.,141.31,286,19640,
Hindcon Chemicals Ltd.,55.83,286,109941,
Umang Dairies Ltd.,129.1,284,27258,
Ravinder Heights Ltd.,46.23,283,218497,
Generic Engineering Construction and Projects Ltd.,53.36,283,54319,
RKEC Projects Ltd.,116.83,280,52937,
Thomas Scott (India) Ltd.,246.65,279,3949,
Brooks Laboratories Ltd.,106.07,278,439644,
North Eastern Carrying Corporation Ltd.,37.14,273,252932,
Indo Thai Securities Ltd.,272.15,272,3562,
Nureca Ltd.,270.35,270,31104,
Kanpur Plastipack Ltd.,125.01,268,35990,
Ginni Filaments Ltd.,30.78,264,95116,
T T Ltd.,122.55,263,50053,
Prajay Engineers Syndicate Ltd.,37.67,263,247941,
Tirupati Forge Ltd.,25.2,261,315615,
Starteck Finance Ltd.,262.4,260,267,
Shree Vasu Logistics Ltd.,225.9,259,3902,
Sarthak Metals Ltd.,188.37,258,19926,
Vardhman Polytex Ltd.,9.44,258,398001,
Rajshree Sugars & Chemicals Ltd.,77.74,258,254266,
Trejhara Solutions Ltd.,176.53,256,14664,
Superhouse Ltd.,232.1,256,12626,
Indiabulls Enterprises Ltd.,12.76,253,2070983,
Jullundur Motor Agency (Delhi) Ltd.,110.42,252,47516,
Shah Metacorp Ltd.,6.09,252,27386908,
Delphi World Money Ltd.,225.55,251,14939,
Vaishali Pharma Ltd.,159.15,247,387811,
Equippp Social Impact Technologies Ltd.,23.99,247,4817,
Shiva Texyarn Ltd.,190.61,247,16637,
Modi Rubber Ltd.,98.18,246,9519,
Tembo Global Industries Ltd.,221.11,246,19181,
Shreeoswal Seeds and Chemicals Ltd.,26.55,243,49207,
Tarmat Ltd.,101.82,242,419605,
Priti International Ltd.,180.94,242,274637,
Compucom Software Ltd.,30.44,241,102307,
GSS Infotech Ltd.,91.65,240,53667,
BSL Ltd.,231.53,238,54006,
Shekhawati Poly Yarn Ltd.,6.8,234,277887,
Dhunseri Tea & Industries Ltd.,222.38,234,12911,
Maheshwari Logistics Ltd.,78.87,233,490133,
Signet Industries Ltd.,79.22,233,21337,
Asian Hotels (East) Ltd.,134.62,233,13721,
Aartech Solonics Ltd.,219.06,232,9548,
Indbank Merchant Banking Services Ltd.,52.1,231,224371,
AMJ Land Holdings Ltd.,55.81,229,58488,
Lovable Lingerie Ltd.,154.47,229,82837,
Capital Trust Ltd.,138.25,226,59537,
GVP Infotech Ltd.,13.87,226,125455,
Noida Toll Bridge Company Ltd.,12.13,226,85277,
Cambridge Technology Enterprises Ltd.,113.91,224,18635,
Incredible Industries Ltd.,47.79,223,29663,
Maha Rashtra Apex Corporation Ltd.,158.57,223,10455,
Modern Threads (India) Ltd.,64,223,1755,
Aspinwall and Company Ltd.,283.35,222,32971,
GTL Ltd.,14.01,220,976738,
Coral India Finance and Housing Ltd.,54.39,219,85061,
Somi Conveyor Beltings Ltd.,185.35,218,1575,
Sonam Ltd.,54.46,218,56092,
Texmo Pipes & Products Ltd.,74.48,217,115084,
Century Extrusions Ltd.,27.06,216,386486,
Sah Polymers Ltd.,83.88,216,33992,
Tainwala Chemicals & Plastics (India) Ltd.,228,213,6991,
Tips Films Ltd.,491.15,212,10315,
Mahalaxmi Rubtech Ltd.,199.45,212,37323,
Standard Industries Ltd.,32.81,211,115194,
Flexituff Ventures International Ltd.,75.84,210,211350,
Worth Peripherals Ltd.,133.5,210,70088,
Intrasoft Technologies Ltd.,128.91,210,48059,
Pansari Developers Ltd.,120.13,210,5693,
Ducon Infratechnologies Ltd.,8.05,209,368984,
Sadbhav Infrastructure Project Ltd.,5.91,208,378502,
Aarvi Encon Ltd.,140.77,208,16641,
Univastu India Ltd.,182.44,207,653,
IL&FS Transportation Networks Ltd.,6.3,207,49005,
Oil Country Tubular Ltd.,46.71,207,58130,
Aki India Ltd.,23.31,206,29305,
Atam Valves Ltd.,179.31,206,514342,
Praxis Home Retail Ltd.,16.4,205,12487,
Niraj Cement Structurals Ltd.,50.98,205,135669,
IVP Ltd.,198.14,205,4675,
Bafna Pharmaceuticals Ltd.,86.45,205,1884,
Arvee Laboratories (India) Ltd.,184.91,204,598,
Manaksia Aluminium Company Ltd.,31.08,204,36804,
Lambodhara Textiles Ltd.,196.05,203,235366,
Kalyani Forge Ltd.,558.25,203,1209,
Archidply Industries Ltd.,101.49,202,34263,
Reliance Home Finance Ltd.,4.14,201,3514603,
Supreme Infrastructure India Ltd.,77.94,200,1068,
MITCON Consultancy & Engineering Services Ltd.,137.99,200,13546,
DCM Ltd.,106.87,200,101370,
The United Nilgiri Tea Estates Company Ltd.,398.65,199,13887,
Dhruv Consultancy Services Ltd.,124,197,4784,
Anik Industries Ltd.,70.94,197,11860,
Alpa Laboratories Ltd.,93.57,197,159047,
United Polyfab Gujarat Ltd.,85.57,196,27321,
Krebs Biochemicals & Industries Ltd.,90.47,195,19736,
Airo Lam Ltd.,128.63,193,20318,
Keynote Financial Services Ltd.,274.3,193,12782,
Emmbi Industries Ltd.,108.25,191,31089,
Baid Finserv Ltd.,15.92,191,2145412,
Bal Pharma Ltd.,120.28,190,33554,
Sikko Industries Ltd.,113.07,190,54265,
Surana Solar Ltd.,38.58,190,279423,
Housing Development & Infrastructure Ltd.,3.99,189,48406,
Weizmann Ltd.,119.12,189,3205,
Suryalakshmi Cotton Mills Ltd.,100.33,189,363671,
SEL Manufacturing Company Ltd.,56.92,189,66052,
Anmol India Ltd.,33.01,188,64002,
Eros International Media Ltd.,19.56,188,260550,
Digicontent Ltd.,32.21,187,5990,
Gillanders Arbuthnot & Company Ltd.,87.48,187,21497,
Prakash Steelage Ltd.,10.66,187,85996,
SPL Industries Ltd.,64.28,186,73235,
Accuracy Shipping Ltd.,12.24,184,498550,
KBC Global Ltd.,1.87,182,2569922,
Kakatiya Cement Sugar & Industries Ltd.,233.99,182,5627,
Hilton Metal Forging Ltd.,86.56,182,96516,
Hindprakash Industries Ltd.,158.63,181,7567,
Mangalam Drugs and Organics Ltd.,113.95,180,151071,
SAL Steel Ltd.,21.19,180,74022,
Total Transport Systems Ltd.,111.33,180,12435,
Semac Consultants Ltd.,571.7,178,1795,
Reliance Chemotex Industries Ltd.,235.79,178,6645,
Jocil Ltd.,199.93,178,22581,
Setco Automotive Ltd.,13.26,177,39233,
Landmark Property Development Company Ltd.,13.15,176,238243,
JHS Svendgaard Laboratories Ltd.,22.38,175,94537,
Mahamaya Steel Industries Ltd.,106.02,174,146008,
BAG Films & Media Ltd.,8.79,174,60040,
Bharat Gears Ltd.,113.2,174,89507,
Ganges Securities Ltd.,173.01,173,26223,
Bhandari Hosiery Exports Ltd.,7.2,173,710608,
Globe Textiles (India) Ltd.,5.73,172,991658,
Fiberweb (India) Ltd.,59.45,171,747166,
Transwarranty Finance Ltd.,31.88,170,166997,
Cubex Tubings Ltd.,118,169,8689,
Vaswani Industries Ltd.,56.23,169,2306280,
Patel Integrated Logistics Ltd.,26.08,168,3219341,
DB (International) Stock Brokers Ltd.,48.09,168,83461,
Gayatri Projects Ltd.,8.97,168,811072,
Mukta Arts Ltd.,73.36,166,41045,
Xelpmoc Design and Tech Ltd.,111.97,165,10380,
The Indian Card Clothing Company Ltd.,275.2,163,6417,
Panache Digilife Ltd.,135.66,163,5481,
ART Nirman Ltd.,65.16,163,17683,
Digjam Ltd.,81.12,162,509,
Bodhi Tree Multimedia Ltd.,12.91,161,31790,
Kohinoor Foods Ltd.,43.16,160,99897,
Ansal Properties & Infrastructure Ltd.,10.02,158,143461,
MEP Infrastructure Developers Ltd.,8.47,158,1410011,
Salona Cotspin Ltd.,295.85,156,1990,
Motor & General Finance Ltd.,40.04,155,47954,
Zenith Steel Pipes & Industries Ltd.,10.71,152,14604,
Barak Valley Cements Ltd.,68.09,151,49951,
MRO-TEK Realty Ltd.,80.69,151,6216,
Sundaram Multi Pap Ltd.,3.17,150,1692240,
Touchwood Entertainment Ltd.,135.43,150,3144,
Power and Instrumentation (Gujarat) Ltd.,117.17,148,22190,
Energy Development Company Ltd.,30.94,147,682590,
Pioneer Embroideries Ltd.,49.67,146,40663,
Zenith Exports Ltd.,271.05,146,869,
AAA Technologies Ltd.,113.85,146,58017,
Aksh Optifibre Ltd.,8.93,145,164790,
Teamo Productions HQ Ltd.,1.54,145,1958427,
Ahlada Engineers Ltd.,112.14,145,34164,
Beardsell Ltd.,36.65,145,73097,
Sampann Utpadan India Ltd.,34.72,141,16981,
Aakash Exploration Services Ltd.,13.92,141,200578,
Steel City Securities Ltd.,92.89,140,19337,
Agri-Tech (India) Ltd.,236.07,140,60185,
Aarey Drugs & Pharmaceuticals Ltd.,49.57,139,69811,
Ind-Swift Ltd.,25.65,139,494528,
Palash Securities Ltd.,138.69,139,6316,
Digidrive Distributors Ltd.,35.6,137,46585,
Lotus Eye Hospital and Institute Ltd.,65.95,137,74966,
The Western India Plywood Ltd.,160.85,137,7206,
AMD Industries Ltd.,70.84,136,46464,
Regency Ceramics Ltd.,50.83,134,757,
Goyal Aluminiums Ltd.,9.32,133,308800,
Ajooni Biotech Ltd.,7.68,132,2107844,
Banka Bioloo Ltd.,121.72,132,9057,
Paras Petrofils Ltd.,3.92,131,58087,
Suvidhaa Infoserve Ltd.,6.2,129,435522,
Alkali Metals Ltd.,126.29,129,42216,
Latteys Industries Ltd.,22.32,128,73605,
The Peria Karamalai Tea & Produce Company Ltd.,414,128,1920,
Ausom Enterprise Ltd.,93.5,127,3008,
HB Stockholdings Ltd.,177.9,127,26608,
Orissa Bengal Carrier Ltd.,59.4,125,29736,
Future Retail Ltd.,2.28,124,637190,
Securekloud Technologies Ltd.,36.87,123,25843,
Palred Technologies Ltd.,100.4,123,1204,
Nagreeka Exports Ltd.,39.23,123,73151,
Arshiya Ltd.,4.62,122,324417,
Avro India Ltd.,120.42,121,56859,
Debock Industries Ltd.,7.38,120,407610,
Lasa Supergenerics Ltd.,23.91,120,62479,
Shah Alloys Ltd.,59.92,119,16364,
Excel Realty N Infra Ltd.,0.84,118,10648329,
Cerebra Integrated Technologies Ltd.,9.67,117,272666,
Times Guaranty Ltd.,130,117,3214,
Reliable Data Services Ltd.,113.05,117,53998,
Soma Textiles & Industries Ltd.,35.16,116,15249,
Damodar Industries Ltd.,49.73,116,72067,
Madhucon Projects Ltd.,15.36,113,4854,
HEC Infra Projects Ltd.,111.74,113,9213,
Dangee Dums Ltd.,7.25,112,114987,
Astron Paper & Board Mill Ltd.,24,112,36708,
Tokyo Plast International Ltd.,116.21,110,26461,
The Grob Tea Company Ltd.,947.95,110,224,
Yaari Digital Integrated Services Ltd,10.78,108,1225016,
Hisar Metal Industries Ltd.,200.08,108,3550,
Tree House Education & Accessories Ltd.,25.46,108,61837,
Biofil Chemicals & Pharmaceuticals Ltd.,65.96,107,113560,
Simbhaoli Sugars Ltd.,25.83,107,69960,
NRB Industrial Bearings Ltd.,43.63,106,813334,
McNally Bharat Engineering Company Ltd.,4.91,104,225858,
Seya Industries Ltd.,38.76,103,52104,
Sambhaav Media Ltd.,5.38,103,150131,
Cinevista Ltd.,17.84,102,13530,
Celebrity Fashions Ltd.,18.03,102,3772170,
SecMark Consultancy Ltd.,97.95,102,307,
Delta Manufacturing Ltd.,93.33,101,18152,
Madhav Copper Ltd.,37.01,100,39998,
Karma Energy Ltd.,86.32,100,14166,
Orient Press Ltd.,99.26,99,3318,
Pritish Nandy Communications Ltd.,68.22,99,17933,
Vinny Overseas Ltd.,4.22,98,402628,
BLB Ltd.,17.84,94,43329,
Ganga Forging Ltd.,7.17,94,407923,
Moksh Ornaments Ltd.,17.4,93,127401,
Agro Phos India Ltd.,45.99,93,72318,
Ravi Kumar Distilleries Ltd.,38.55,93,108025,
Tera Software Ltd.,73.33,92,9898,
Twentyfirst Century Management Services Ltd.,86.3,91,354,
SVP Global Textiles Ltd.,7.16,91,57481,
Aro Granite Industries Ltd.,58.76,90,48510,
Marshall Machines Ltd.,36.09,89,35741,
Aarvee Denims and Exports Ltd.,38.05,89,131661,
Lexus Granito (India) Ltd.,43.97,89,36747,
Archies Ltd.,25.69,87,133063,
HOV Services Ltd.,66.84,84,6582,
GACM Technologies Ltd.,1.23,84,9395410,
Raj Oil Mills Ltd.,55.65,83,19301,
Shiva Mills Ltd.,94.91,82,30780,
Malu Paper Mills Ltd.,47.94,82,87585,
Balkrishna Paper Mills Ltd.,24.94,80,68009,
Diligent Media Corporation Ltd.,6.76,80,726232,
LCC Infotech Ltd.,6.1,77,69823,
G-Tec Jainx Education Ltd.,75.36,77,843,
SITI Networks Ltd.,0.88,77,8609862,
We Win Ltd.,73.63,75,10427,
Golden Tobacco Ltd.,41.38,73,2107,
Rollatainers Ltd.,2.91,73,401188,
Akshar Spintex Ltd.,2.42,73,1076190,
DSJ Keep Learning Ltd.,4.62,72,97171,
Burnpur Cement Ltd.,8.33,72,34844,
Prudential Sugar Corporation Ltd.,22.12,71,5717,
Bang Overseas Ltd.,52.27,71,46453,
Lakshmi Finance & Industrial Corporation Ltd.,235.91,71,49689,
Kavveri Telecom Products Ltd.,34.51,69,2546,
AKG Exim Ltd.,21.66,69,640247,
Silgo Retail Ltd.,37.1,69,81182,
Rolta India Ltd.,4.12,68,295711,
Kshitij Polyline Ltd.,7.58,67,3206863,
3P Land Holdings Ltd.,37.25,67,60311,
Poddar Housing and Development Ltd.,91.9,67,5105,
Banaras Beads Ltd.,100.62,67,17960,
Manugraph India Ltd.,21.43,65,38829,
Jet Freight Logistics Ltd.,14.04,65,140253,
Ankit Metal & Power Ltd.,4.52,64,280555,
Akash Infra-Projects Ltd.,37.21,63,51421,
Mittal Life Style Ltd.,2.12,63,963632,
Nandani Creation Ltd.,37.76,62,2974,
Country Condo's Ltd.,8.04,62,354943,
Godha Cabcon & Insulation Ltd.,0.93,62,5188355,
Tamilnadu Telecommunications Ltd.,13.38,61,59247,
Kanani Industries Ltd.,3.05,60,850634,
Atal Realtech Ltd.,7.88,58,151711,
Vineet Laboratories Ltd.,63.2,58,128777,
Laxmi Cotspin Ltd.,33.52,57,151554,
ABM International Ltd.,60.05,56,313,
STL Global Ltd.,20.4,56,114597,
Nakoda Group Of Industries Ltd.,38.82,54,48940,
Sagardeep Alloys Ltd.,31.52,54,29168,
Pearl Polymers Ltd.,31.46,53,10334,
Adroit Infotech Ltd.,17.75,53,35399,
Cyber Media (India) Ltd.,33.51,53,464219,
Archidply Decor Ltd.,93.36,52,6475,
Sumeet Industries Ltd.,4.99,52,151250,
Ashoka Metcast Ltd.,20.02,50,72802,
Super Spinning Mills Ltd.,9.09,50,99157,
TGB Banquets and Hotels Ltd.,17.03,50,289177,
Binani Industries Ltd.,15.9,50,38734,
ICDS Ltd.,38.25,50,6,
Next Mediaworks Ltd.,7.41,50,103124,
Supreme Engineering Ltd.,1.97,49,318036,
Shrenik Ltd.,0.78,48,884742,
Future Lifestyle Fashions Ltd.,2.33,47,54220,
Khandwala Securities Ltd.,30.81,47,52416,
Libas Consumer Products Ltd.,17.64,46,94895,
Uniinfo Telecom Services Ltd.,42.88,46,120854,
Tijaria Polypipes Ltd.,15.98,46,1570,
Morarjee Textiles Ltd.,12.57,46,120474,
Ambica Agarbathies & Aroma Industries Ltd.,26.23,45,69906,
Shree Ram Proteins Ltd.,1.04,45,492149,
ARSS Infrastructure Projects Ltd.,19.58,45,28487,
Sanginita Chemicals Ltd.,17.04,44,73434,
Techindia Nirman Ltd.,30.09,43,4422,
Madhav Marbles & Granites Ltd.,48.07,43,14508,
Khaitan (India) Ltd.,88.13,42,41822,
Suumaya Industries Ltd.,5.88,40,132162,
Williamson Magor & Company Ltd.,35.97,39,34365,
Sri Havisha Hospitality and Infrastructure Ltd.,2.51,39,88883,
Mohit Industries Ltd.,27.21,39,16449,
Ace Integrated Solutions Ltd.,36.81,38,28974,
Future Market Networks Ltd.,6.51,37,69389,
TECIL Chemicals & Hydro Power Ltd.,19.33,37,1132,
Avonmore Capital & Management Services Ltd.,15.56,36,321484,
Future Enterprises Ltd.,0.78,35,1003646,
N K Industries Ltd.,58.88,35,1497,
Blue Chip India Ltd.,6.25,35,424698,
Nagreeka Capital & Infrastructure Ltd.,26.5,33,4030,
Kaushalya Infrastructure Development Corpn.Ltd.,965,33,145,
Oriental Trimex Ltd.,11.13,33,243660,
Impex Ferro Tech Ltd.,3.64,32,79509,
TV Vision Ltd.,8.25,32,28855,
JHS Svendgaard Retail Ventures Ltd.,49.1,32,11092,
Visagar Polytex Ltd.,1.04,30,347624,
Viji Finance Ltd.,2.13,30,113960,
Winsome Yarns Ltd.,4.28,30,117188,
Gujarat Raffia Industries Ltd.,55.14,30,72134,
Sanwaria Consumer Ltd.,0.39,29,509181,
Narmada Agrobase Ltd.,21.01,28,5566,
Compuage Infocom Ltd.,3.26,28,26061,
SecUR Credentials Ltd.,6.69,27,307161,
Heads UP Ventures Ltd.,12.19,27,57305,
Tarapur Transformers Ltd.,13.57,26,114136,
California Software Company Ltd.,16.98,26,15426,
MT Educare Ltd.,3.44,25,66446,
Antarctica Ltd.,1.56,24,3036258,
Silly Monks Entertainment Ltd.,23.54,24,69976,
Onelife Capital Advisors Ltd.,17.31,23,18112,
Usha Martin Education & Solutions Ltd.,8.51,22,3630,
Gujarat Lease Financing Ltd.,7.72,21,626,
Shyam Telecom Ltd.,18.35,21,27395,
TCI Finance Ltd.,15.19,20,17066,
Lypsa Gems & Jewellery Ltd.,6.01,18,36932,
Shanti Overseas (India) Ltd.,15.93,18,2113,
Rajdarshan Industries Ltd.,54.84,17,24546,
Ortin Laboratories Ltd.,20.78,17,50470,
Neueon Towers Ltd.,2.8,16,22749,
Norben Tea & Exports Ltd.,12.65,15,3147,
Sri Adhikari Brothers Television Network Ltd.,389.7,15,2,
Eurotex Industries & Exports Ltd.,15.25,13,24810,
Alps Industries Ltd.,3.37,13,35876,
DCM Financial Services Ltd.,5.88,13,61991,
Creative Eye Ltd.,6.48,13,7728,
Setubandhan Infrastructure Ltd.,0.75,9,29040,
SAB Events & Governance Now Media Ltd.,8.65,9,12053,
Sanco Industries Ltd.,6.85,9,13665,
Ortel Communications Ltd.,1.44,5,8760,
